building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.016389671607653,6.367627923173738,30.966330331633575,55.48262268995696
10009,11.001470991456467,5.810915435861805,16.675042717861093,74.96607699266258
10014,14.745720937715543,7.036844546904521,38.26672909753466,52.80531748132164
10019,14.738045992431914,7.028883952928212,38.15525783054089,52.92011271502833
10029,10.621816930284341,6.312980601811644,18.25563221896085,74.51301795448481
10031,12.510323856611983,6.277808048384681,24.057979553958106,66.38040243938367
10051,13.290568693511352,5.999000745445964,25.97693550756574,62.84890553841633
10053,11.370251703720488,6.260177010486797,19.953279266572636,72.40391396332863
10056,14.221562289331006,6.179404507757408,31.770664359612127,57.05454021123968
10064,12.720349491275739,6.964235612370737,28.808877736605105,62.74423987784359
10075,15.162805531571095,6.441288153798407,39.18271354120661,47.40195212437064
10079,15.098206695803485,7.312780148273856,41.91162948265015,49.42844698252916
10080,15.781297991166266,7.279402135456583,46.376541818929965,44.69241998216928
10082,16.46575887416988,6.713328788251628,48.64349722630506,40.56042861884216
10083,15.641606315435139,7.120693980222146,44.867453343875404,45.87889546939567
10084,15.10285128447884,7.150035060536763,40.915524770365906,50.25297394970637
10085,15.870750583407286,7.19206917388925,46.18868243958183,44.71579125576671
10086,14.393804262618948,7.214949149785434,37.26341227646206,53.00918318028033
10087,15.075267026623015,7.274572784014012,41.53898184072825,49.88397982094376
10089,13.99372645997466,7.274480018053715,35.47279725371892,56.347937924969024
10090,14.292348984988019,6.619899289654485,36.6682123811732,51.18710874101553
10093,14.099093430537785,6.566255092777951,33.3914682496696,56.43131052711398
10094,14.195417811098189,6.760993509573188,35.38006895419471,54.92146883379851
10097,14.357944221444408,6.8642006663114445,37.84352764540767,51.274561002676414
10117,15.467991365939685,6.682571554102535,44.13410625109789,44.460337775101
10119,14.089674173408559,6.751789168544709,35.08520585130448,54.69260543909918
10120,15.282544148168192,8.03176224106131,46.168775716171105,47.71627461636002
10124,13.86906652736521,7.031701633748929,34.57151056426444,56.046202963016114
10126,13.396702609021483,6.636590770096001,29.662901517825624,61.08718672785034
10128,17.429428442225912,6.706558494167825,56.04351758259297,34.869926052029584
10136,15.423916309195778,7.273085140414578,44.312732953028764,46.89016975293384
10144,12.109020596381393,6.1271865597204975,21.81176884068886,68.8996836873023
10145,10.655082486082193,5.892142953260341,16.576508177533135,75.27284805921988
10150,14.96408034094442,7.494066189977819,41.2050516477199,50.724180776292116
10161,13.451494890920339,7.02940957932256,31.821653456440195,59.45789982857822
10165,13.055506085062733,6.732039288517711,29.071604938271605,62.0477366255144
10167,13.234484634019163,6.813354827708895,30.197673255775193,60.84369478982633
10168,13.195176309117869,6.8997985325107205,30.327255804676984,60.48332142204198
10174,16.578489076119784,6.972336411111539,49.41651925241748,41.36245726152104
10176,16.656896657303594,6.854741948487349,49.792054969816675,40.70297938631875
10177,16.62250968897451,6.785857276059408,49.10711895263849,40.95004149821959
10180,16.49005818112021,6.866531746845464,48.20853222890247,42.12248421869232
10182,16.73595260618755,6.319732381784754,50.87440194206793,37.526220273869285
10198,14.428579549406614,7.342112443219451,38.62776233955273,53.21688500727802
10199,17.24199817650457,6.977089648579187,53.89355519813612,37.67134621367063
10200,12.824770072075058,7.258307945920847,30.678343714666113,61.65441201067794
10201,15.949844250664077,7.27210356973775,47.056216392374125,44.64852533811308
10202,13.54642106627494,7.4955274178708,34.0404662968633,58.642331219224474
10203,16.804654309118142,6.61236221673542,51.22205405979502,38.8860124263183
10204,14.767061726972932,7.063728096341621,39.04547387444852,51.72221336309999
10205,11.446275255307446,6.6666587585587935,23.171405828505726,69.3892893468359
10206,10.127230073595976,6.36154326864355,17.5540496934495,76.31048947936486
